Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Sub_Category,Product_Name,Quantity,Price,Discount,Payment_Mode,Shipping_Cost,Profit
1001,2025-01-27,17,Priya,North,Mumbai,Electronics,Laptop,Study Table,3,21474,0,NetBanking,409,10899.45
1002,2024-04-06,106,Neha,West,Bangalore,Furniture,Sofa,Story Book,2,49855,15,NetBanking,142,12549.36
1003,2024-07-28,124,Priya,North,Chennai,Clothing,Jacket,Story Book,5,15041,5,Card,659,12071.86
1004,2024-01-06,185,Ankit,West,Kolkata,Books,Study,Jeans Pant,4,3326,10,COD,193,2547.89
1005,2024-03-04,80,Ravi,West,Jaipur,Clothing,Tshirt,Office Chair,3,57042,20,COD,414,34213.76
1006,2024-06-27,98,Ravi,North,Delhi,Electronics,Mobile,iPhone,1,41184,20,UPI,459,3764.95
1007,2024-11-19,172,Suman,East,Chennai,Furniture,Chair,Polo Tshirt,4,59027,0,UPI,204,27405.45
1008,2024-04-10,115,Neha,West,Delhi,Books,Comics,iPhone,5,8685,10,Card,121,3447.81
1009,2024-06-21,80,Kiran,North,Jaipur,Books,Magazine,Story Book,1,57757,5,UPI,517,8444.88
1010,2025-05-06,29,Ravi,North,Chennai,Grocery,Rice,Wooden Bed,5,38213,0,Card,563,37358.23
1011,2024-10-22,64,Rohit,South,Bangalore,Clothing,Tshirt,Wooden Bed,1,59122,10,NetBanking,375,7620.45
1012,2024-09-28,22,Priya,West,Kolkata,Grocery,Fruits,Wooden Bed,2,32094,5,NetBanking,509,6704.75
1013,2024-04-03,176,Priya,East,Jaipur,Grocery,Oil,Office Chair,1,20685,15,UPI,290,3031.57
1014,2025-04-07,27,Pooja,South,Jaipur,Clothing,Jeans,Dell Laptop,1,65254,5,NetBanking,52,7896.18
1015,2024-08-21,156,Amit,South,Mumbai,Books,Magazine,Study Table,2,61195,15,NetBanking,596,22663.95
1016,2024-09-06,105,Pooja,East,Kolkata,Grocery,Fruits,Story Book,4,14027,0,UPI,693,7700.71
1017,2024-05-16,11,Nisha,South,Bangalore,Clothing,Shirt,Story Book,5,36829,0,NetBanking,631,14927.73
1018,2025-02-07,95,Amit,East,Delhi,Clothing,Shirt,Polo Tshirt,5,12034,10,Card,368,9997.14
1019,2024-05-13,1,Rahul,East,Mumbai,Grocery,Oil,Dell Laptop,3,49927,5,Card,171,15490.88
1020,2025-01-15,26,Neha,West,Pune,Clothing,Jacket,Jeans Pant,2,65501,15,Card,316,10317.57
1021,2024-08-26,136,Priya,North,Kolkata,Grocery,Oil,Wooden Bed,5,5577,15,NetBanking,670,4403.58
